sentence1,sentence2,similarity
Die Vollstreckung aus einem Kostenfestsetzungsbeschluss erfolgt aufgrund einer vollstreckbaren Ausfertigung des Urteils.,Hat sich der Eigentümer eines mit einer Hypothek einer Grundschuld oder einer Rentenschuld belasteten Grundstücks in einer nach § 794 Abs. 1 Nr. 5 aufgenommenen Urkunde der sofortigen Zwangsvollstreckung unterworfen und ist dem Rechtsnachfolger des Gläubigers eine vollstreckbare Ausfertigung erteilt so ist die Zustellung der die Rechtsnachfolge nachweisenden öffentlichen oder öffentlich beglaubigten Urkunde nicht erforderlich wenn der Rechtsnachfolger als Gläubiger im Grundbuch eingetragen ist.,widerspruch
"Wenn die Urkunde in dem Gegnerbesitz ist, wird diesem aufgegeben, nach ihrem Verbleib zu forschen. Falls die Urkunde tatsächlich in dem Gegnerbesitz ist, ordnet das Gericht die Vorlegung an.",Urkunden die nach Form und Inhalt als von einer öffentlichen Behörde oder von einer mit öffentlichem Glauben versehenen Person errichtet sich darstellen haben die Vermutung der Echtheit für sich. Das Gericht kann wenn es die Echtheit für zweifelhaft hält auch von Amts wegen die Behörde oder die Person von der die Urkunde errichtet sein soll zu einer Erklärung über die Echtheit veranlassen.,widerspruch
Einstweiliger Ruhestand beginnt mit dem Zeitpunkt zu dem die Versetzung in den einstweiligen Ruhestand der Beamtin oder dem Beamten bekannt gegeben wird.,Wenn nicht im Einzelfall ausdrücklich ein späterer Zeitpunkt festgesetzt wird beginnt der einstweilige Ruhestand mit dem Zeitpunkt zu dem die Versetzung in den einstweiligen Ruhestand der Beamtin oder dem Beamten bekannt gegeben wird spätestens jedoch mit dem Ende des dritten Monats der auf den Monat der Bekanntgabe folgt. Die Verfügung kann bis zum Beginn des Ruhestands zurückgenommen werden.,perfekt
"Eine Gerichtssitzung kann angeordnet werden, in der der Eid vor einem Mitglied des Gerichts oder vor einem anderen Gericht geleistet wird.","Die Beweisaufnahme erfolgt nach den für die Aufnahme des betreffenden Beweismittels überhaupt geltenden Vorschriften. Das Protokoll über die Beweisaufnahme ist bei dem Gericht, das sie angeordnet hat, aufzubewahren. Das Gericht kann die Parteien zur mündlichen Erörterung laden, wenn eine Einigung zu erwarten ist; ein Vergleich ist zu gerichtlichem Protokoll zu nehmen.",widerspruch
Die Verwertungsstelle erledigt die kaufmännischen Geschäfte der Bundesmonopolverwaltung.,Als gewerbliche Brennereien gelten die Brennereien die weder zu den landwirtschaftlichen Brennereien noch zu den Obstbrennereien gehören sowie die Brennereien die Hefe erzeugen. Brennereien die bereits vor dem 1. April 1909 als landwirtschaftliche Brennereien mit Hefenerzeugung betrieben worden sind gelten auch fernerhin als landwirtschaftliche Brennereien solange sie die Bedingungen der §§ 25 und 26 erfüllen.,widerspruch
"Ein Richter ist ausgeschlossen oder abgelehnt, wenn er eine Untersuchungshandlung ausüben soll oder wegen Besorgnis der Befangenheit abgelehnt wird.",Ein Richter kann sowohl in den Fällen in denen er von der Ausübung des Richteramts kraft Gesetzes ausgeschlossen ist als auch wegen Besorgnis der Befangenheit abgelehnt werden. Wegen Besorgnis der Befangenheit findet die Ablehnung statt wenn ein Grund vorliegt der geeignet ist Misstrauen gegen die Unparteilichkeit eines Richters zu rechtfertigen. Das Ablehnungsrecht steht in jedem Fall beiden Parteien zu.,perfekt
"Deutsche Staatsangehörigkeit verliert sich, wenn Person aufgrund freiwilliger Verpflichtung ohne Zustimmung des Bundesministeriums der Verteidigung oder der von ihm bezeichneten Stelle in die Streitkräfte oder einen vergleichbaren bewaffneten Verband eines ausländischen Staates dessen Staatsangehörigkeit besitzt.",Ein Deutscher der auf Grund freiwilliger Verpflichtung ohne eine Zustimmung des Bundesministeriums der Verteidigung oder der von ihm bezeichneten Stelle in die Streitkräfte oder einen vergleichbaren bewaffneten Verband eines ausländischen Staates dessen Staatsangehörigkeit er besitzt eintritt verliert die deutsche Staatsangehörigkeit. Dies gilt nicht wenn er auf Grund eines zwischenstaatlichen Vertrages dazu berechtigt ist.,perfekt
"Gerichtsvollzieher ist bei dem Amtsgericht zuständig, in dem der Schuldner seinen Wohnsitz oder Aufenthaltsort hat.",Für die Abnahme der Vermögensauskunft und der eidesstattlichen Versicherung ist der Gerichtsvollzieher bei dem Amtsgericht zuständig in dessen Bezirk der Schuldner im Zeitpunkt der Auftragserteilung seinen Wohnsitz oder in Ermangelung eines solchen seinen Aufenthaltsort hat. Ist der angegangene Gerichtsvollzieher nicht zuständig so leitet er die Sache auf Antrag des Gläubigers an den zuständigen Gerichtsvollzieher weiter.,perfekt
"Wer sich um einen Sitz im Bundestag bewirbt, hat Anspruch auf den zur Vorbereitung seiner Wahl erforderlichen Urlaub.",Wer sich um einen Sitz im Bundestage bewirbt hat Anspruch auf den zur Vorbereitung seiner Wahl erforderlichen Urlaub.Niemand darf gehindert werden das Amt eines Abgeordneten zu übernehmen und auszuüben. Eine Kündigung oder Entlassung aus diesem Grunde ist unzulässig.Die Abgeordneten haben Anspruch auf eine angemessene ihre Unabhängigkeit sichernde Entschädigung. Sie haben das Recht der freien Benutzung aller staatlichen Verkehrsmittel. Das Nähere regelt ein Bundesgesetz.,perfekt
"Erbe ist für erbunwürdig erklärt, wenn festgestellt wird, dass er keine Erben hat.","Ist ein Erbe für erbunwürdig erklärt, so gilt der Anfall an ihn als nicht erfolgt. Die Erbschaft fällt demjenigen an, welcher berufen sein würde, wenn der Erbunwürdige zur Zeit des Erbfalls nicht gelebt hätte; der Anfall gilt als mit dem Eintritt des Erbfalls erfolgt.",perfekt
Pfandrecht kann auch ein Recht sein.,"Der Schuldner kann nur an den Pfandgläubiger und den Gläubiger gemeinschaftlich leisten. Jeder von beiden kann verlangen, dass an sie gemeinschaftlich geleistet wird; jeder kann statt der Leistung verlangen, dass die geschuldete Sache für beide hinterlegt oder, wenn sie sich nicht zur Hinterlegung eignet, an einen gerichtlich zu bestellenden Verwahrer abgeliefert wird.",widerspruch
Der Antrag muss sofort angenommen werden.,Haben sich die Parteien bei einem Vertrag den sie als geschlossen ansehen über einen Punkt über den eine Vereinbarung getroffen werden sollte in Wirklichkeit nicht geeinigt so gilt das Vereinbarte sofern anzunehmen ist dass der Vertrag auch ohne eine Bestimmung über diesen Punkt geschlossen sein würde.,widerspruch
Mieter darf Wohnraum nicht ohne Zustimmung des Vermieters beenden.,Ist Wohnraum im Rahmen eines Dienstverhältnisses überlassen so gelten für die Beendigung des Rechtsverhältnisses hinsichtlich des Wohnraums die Vorschriften über Mietverhältnisse entsprechend wenn der zur Dienstleistung Verpflichtete den Wohnraum überwiegend mit Einrichtungsgegenständen ausgestattet hat oder in dem Wohnraum mit seiner Familie oder Personen lebt mit denen er einen auf Dauer angelegten gemeinsamen Haushalt führt. Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.,perfekt
Rechtsschritte eines Anwalts können nicht von der Zulassung der Rechtsanwaltschaft oder der Berufung des Anwalts abgelehnt werden.,Die in Anlage 1 aufgeführten Erzeugnisse unterliegen dieser Verordnung soweit sie dazu bestimmt sind als Lebensmittel gewerbsmäßig in den Verkehr gebracht zu werden. Diese Verordnung gilt nach Maßgabe des Abschnitts 3 auch für koffeinhaltige Erfrischungsgetränke.,widerspruch
"Besitzer ist für Schaden verantwortlich, der dadurch entsteht, dass infolge seines Verschuldens die Sache verschlechtert wird.",Zu den notwendigen Verwendungen im Sinne des § 994 gehören auch die Aufwendungen die der Besitzer zur Bestreitung von Lasten der Sache macht. Für die Zeit für welche dem Besitzer die Nutzungen verbleiben sind ihm nur die Aufwendungen für solche außerordentliche Lasten zu ersetzen die als auf den Stammwert der Sache gelegt anzusehen sind.,widerspruch
Die Verwandten und Ehegatten des Erblassers können durch Vertrag mit dem Erblasser auf ihr gesetzliches Erbrecht verzichten. Dieser Vertrag ist vom gesetzlichen Erbfolge ausgeschlossen.,Die Vorschrift des § 2366 findet entsprechende Anwendung wenn an denjenigen welcher in einem Erbschein als Erbe bezeichnet ist auf Grund eines zur Erbschaft gehörenden Rechts eine Leistung bewirkt oder wenn zwischen ihm und einem anderen in Ansehung eines solchen Rechts ein nicht unter die Vorschrift des § 2366 fallendes Rechtsgeschäft vorgenommen wird das eine Verfügung über das Recht enthält.,widerspruch
Die Regierungen dürfen Jagdrecht auf Insel Helgoland und auf Wasservögel auf dem Untersee und dem Rhein in Konstanz abweichend von den Vorschriften dieses Gesetzes regeln.,Wird Kohle in das Steuergebiet eingeführt (§ 19) gelten die §§ 19a und 19b mit der Maßgabe sinngemäß dass die Steuer nicht entsteht wenn die Einfuhr durch den Inhaber einer Erlaubnis nach § 31 Absatz 4 oder § 37 Absatz 1 erfolgt oder sich die Abgabe an einen solchen unmittelbar an die Einfuhr anschließt.,widerspruch
Der Versicherer muss die Versicherungssumme zur Wiederherstellung des versicherten Gegenstandes zahlen.,Der Eigentümer ist berechtigt den Gläubiger zu befriedigen wenn die Forderung ihm gegenüber fällig geworden oder wenn der persönliche Schuldner zur Leistung berechtigt ist. Die Befriedigung kann auch durch Hinterlegung oder durch Aufrechnung erfolgen.,widerspruch
Straßenbaulast trägt für die Sicherheit und Ordnung von Bauten ein.,Die Träger der Straßenbaulast haben dafür einzustehen dass ihre Bauten allen Anforderungen der Sicherheit und Ordnung genügen. Behördlicher Genehmigungen Erlaubnisse und Abnahmen durch andere als die Straßenbaubehörden bedarf es nicht. Für Baudenkmäler gilt Satz 2 nur soweit ein Planfeststellungsverfahren durchgeführt worden ist.,perfekt
Behörde überprüft Darstellungen und Bewertungen des Umweltberichts. Bei Überprüfung gelten die in § 40 Absatz 3 bestimmten Maßstäbe. Das Ergebnis der Überprüfung ist im Verfahren zur Aufstellung oder Änderung des Plans oder Programms zu berücksichtigen.,Nach Abschluss der Behörden- und Öffentlichkeitsbeteiligung überprüft die zuständige Behörde die Darstellungen und Bewertungen des Umweltberichts unter Berücksichtigung der ihr nach den §§ 41 42 60 Absatz 1 und § 61 Absatz 1 übermittelten Stellungnahmen und Äußerungen. Bei der Überprüfung gelten die in § 40 Absatz 3 bestimmten Maßstäbe. Das Ergebnis der Überprüfung nach Absatz 1 ist im Verfahren zur Aufstellung oder Änderung des Plans oder Programms zu berücksichtigen.,perfekt
Der Beschluss über den Antrag ist nicht anfechtbar.,Ist ein Rechtsstreit nicht anhängig hat das Gericht nach Beendigung der Beweiserhebung auf Antrag ohne mündliche Verhandlung anzuordnen dass der Antragsteller binnen einer zu bestimmenden Frist Klage zu erheben hat. Kommt der Antragsteller dieser Anordnung nicht nach hat das Gericht auf Antrag durch Beschluss auszusprechen dass er die dem Gegner entstandenen Kosten zu tragen hat. Die Entscheidung unterliegt der sofortigen Beschwerde.,widerspruch
Mit der Übertragung des Anteils auf die Miterben wird der Käufer von der Haftung für die Nachlassverbindlichkeiten frei.,"Mit der Übertragung des Anteils auf die Miterben wird der Käufer von der Haftung für die Nachlassverbindlichkeiten frei. Seine Haftung bleibt jedoch bestehen, soweit er den Nachlassgläubigern nach den §§ 1978 bis 1980 verantwortlich ist; die Vorschriften der §§ 1990, 1991 finden entsprechende Anwendung.",perfekt
Europäisches Rechtsanwaltsverzeichnis gibt Angaben über eingetragene Anwälte zum Gesamtverzeichnis frei.,Die Bundesrechtsanwaltskammer ermöglicht über die Suche nach § 31 Absatz 2 Satz 3 hinaus über das auf den Internetseiten der Europäischen Kommission bestehende elektronische Suchsystem (Europäisches Rechtsanwaltsverzeichnis) den Abruf derjenigen im Gesamtverzeichnis eingetragenen Angaben die Gegenstand des Europäischen Rechtsanwaltsverzeichnisses sind.,perfekt
"Werden Revisionsverfahren eingeleitet, nach denen die Vorschriften über das Verfahren im ersten Rechtszug gelten und nach denen die Vorschriften über Urteile und andere Entscheidungen durchgeführt werden, so bleiben Erklärungen und Beweismittel, die das Finanzgericht nach § 79b zurückgewiesen hat, ausgeschloss",Ist während des Revisionsverfahrens ein neuer oder geänderter Verwaltungsakt Gegenstand des Verfahrens geworden (§§ 68 123 Satz 2) so kann der Bundesfinanzhof das angefochtene Urteil aufheben und die Sache zur anderweitigen Verhandlung und Entscheidung an das Finanzgericht zurückverweisen.,widerspruch
Brennerei kann ein Jahresbrennrecht an andere Brennereien überlassen werden.,Die Bundesmonopolverwaltung kann auf Antrag der Brennereibesitzer widerruflich zulassen dass ein Brennrecht von einer Brennerei ganz oder teilweise an eine oder mehrere andere Brennereien gleicher Brennereiklasse für ein oder mehrere Betriebsjahre zur Nutzung überlassen werden kann. Voraussetzung für die Zulassung ist dass sich die Übernahmegeldzahlungen nicht erhöhen. Für die Dauer der Nutzung gilt das Jahresbrennrecht der anderen Brennerei als entsprechend erhöht.,perfekt
"Behörde kann Grundabtretungsbegünstigten schon vor Abschluß des Verfahrens in den Besitz des betroffenen Grundstücks einweisen. Die vorzeitige Besitzeinweisung setzt voraus, daß dem Eigentümer und wenn ein anderer durch die Besitzeinweisung betroffen wird, auch diesem Gelegenheit zur Stellungnahme gegeben wurde.",Ist die sofortige Ausführung des die Grundabtretung erfordernden Vorhabens aus den in § 79 genannten Gründen des Wohles der Allgemeinheit dringend geboten so kann die zuständige Behörde den Grundabtretungsbegünstigten auf Antrag schon vor Abschluß des Verfahrens in den Besitz des betroffenen Grundstücks einweisen. Die vorzeitige Besitzeinweisung setzt voraus daß dem Eigentümer und wenn ein anderer durch die Besitzeinweisung betroffen wird auch diesem Gelegenheit zur Stellungnahme gegeben worden ist.,perfekt
Vorerbe ist verpflichtet ohne Auftrag zum Ersatz zu handeln.,Macht der Vorerbe Verwendungen auf die Erbschaft die nicht unter die Vorschrift des § 2124 fallen so ist der Nacherbe im Falle des Eintritts der Nacherbfolge nach den Vorschriften über die Geschäftsführung ohne Auftrag zum Ersatz verpflichtet. Der Vorerbe ist berechtigt eine Einrichtung mit der er eine zur Erbschaft gehörende Sache versehen hat wegzunehmen.,perfekt
"Wenn der Verpächter der Pachtsache die Nutzung an einen Dritten nicht ordnungsmäßig gewährleistet, kann der Pächter die Überlassung der Pachtsache kündigen. Eine andere Vereinbarung ist unwirksam.",Der Verleiher kann die Leihe kündigen: 1.wenn er infolge eines nicht vorhergesehenen Umstandes der verliehenen Sache bedarf 2.wenn der Entleiher einen vertragswidrigen Gebrauch von der Sache macht insbesondere unbefugt den Gebrauch einem Dritten überlässt oder die Sache durch Vernachlässigung der ihm obliegenden Sorgfalt erheblich gefährdet 3.wenn der Entleiher stirbt.,widerspruch
"Er darf keine Maßnahmen ergreifen, die seinen Zugang zum Grundstück behindern.",Der Rentenberechtigte kann jederzeit verlangen dass der Rentenpflichtige ihm gegen Übertragung des Eigentums an dem überbauten Teil des Grundstücks den Wert ersetzt den dieser Teil zur Zeit der Grenzüberschreitung gehabt hat. Macht er von dieser Befugnis Gebrauch so bestimmen sich die Rechte und Verpflichtungen beider Teile nach den Vorschriften über den Kauf. Für die Zeit bis zur Übertragung des Eigentums ist die Rente fortzuentrichten.,widerspruch
Das Schuldverhältnis ist auf die Gesamteinkünfte beschränkt.,Verletzt der Schuldner eine Pflicht aus dem Schuldverhältnis so kann der Gläubiger Ersatz des hierdurch entstehenden Schadens verlangen. Dies gilt nicht wenn der Schuldner die Pflichtverletzung nicht zu vertreten hat. Schadensersatz wegen Verzögerung der Leistung kann der Gläubiger nur unter der zusätzlichen Voraussetzung des § 286 verlangen. Schadensersatz statt der Leistung kann der Gläubiger nur unter den zusätzlichen Voraussetzungen des § 281 des § 282 oder des § 283 verlangen.,widerspruch
